date,app_name,input,cluster,total_time,ru_stime,rs_stime,maxrss,ixrss,idrss,minflt,majflt,nswap,inblock,oublock,msgsnd,msgrcv,nsignals,nvcsw,nivcsw,rxBytes,txBytes,rxPackets,txPackets,pi_5,pi_10,pi_15,total_pi
06-27-21-07:48:5,kripke,B,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,LULESH,B,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,Quicksilver,C,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,kripke,A,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,LULESH,A,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,Quicksilver,A,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,kripke,C,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,LULESH,C,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:48:5,Quicksilver,B,n1-highmem-32-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,Quicksilver,C,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,Quicksilver,A,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,kripke,C,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,Quicksilver,B,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,kripke,B,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,LULESH,A,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,LULESH,B,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:51:1,kripke,A,n1-highmem-16-16,2.190763,0.131853,0.111692,19060,0,0,2278,0,0,0,0,0,0,0,2574,101,8463667,8023528,2707,2068,0.730932,0.807968,0.884235,100
06-26-21-03:51:1,LULESH,C,n1-highmem-16-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,LULESH,A,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,kripke,C,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,LULESH,C,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,LULESH,B,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,Quicksilver,A,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,Quicksilver,B,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,kripke,B,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,kripke,A,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-07:29:5,Quicksilver,C,n1-highmem-32-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-24-21-17:53:3,LULESH,B,n1-highmem-2-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-24-21-17:53:3,kripke,A,n1-highmem-2-2,36.258558,1.812819,0.105062,87380,0,0,18384,0,0,0,0,0,0,0,2028,202,12635172,12631408,582,576,2.316687,4.103023,5.867267,100
06-24-21-17:53:3,Quicksilver,B,n1-highmem-2-2,406.739345,10.896172,10.564532,56992,0,0,11954,0,0,0,0,0,0,0,2114,330,1972145,2128474,877,1250,21.920873,42.409493,62.711900,100
06-24-21-17:53:3,kripke,B,n1-highmem-2-2,199.237792,9.711244,0.248287,304712,0,0,25670,0,0,0,0,0,0,0,2034,254,33313925,33311936,1079,994,10.364619,20.523316,31.023199,100
06-24-21-17:53:3,LULESH,C,n1-highmem-2-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-24-21-17:53:3,Quicksilver,A,n1-highmem-2-2,85.655947,2.459591,2.175638,25240,0,0,3930,0,0,0,0,0,0,0,2115,203,451665,478876,584,633,5.038177,9.409849,13.670427,100
06-24-21-17:53:3,kripke,C,n1-highmem-2-2,683.247141,34.779691,1.075990,894556,0,0,32395,0,0,0,0,0,0,0,2092,428,71167908,71718917,2595,2085,36.299574,70.703410,104.524056,100
06-24-21-17:53:3,Quicksilver,C,n1-highmem-2-2,818.379325,21.424688,21.224756,97356,0,0,14384,0,0,0,0,0,0,0,2180,384,3866573,4170438,1175,1655,43.070785,84.322474,125.644462,100
06-24-21-17:53:3,LULESH,A,n1-highmem-2-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-02:01:0,kripke,A,n1-highmem-16-2,5.525521,0.296173,0.048028,27496,0,0,4332,0,0,0,0,0,0,0,2554,157,12667556,12651712,770,928,0.809096,1.057603,1.304992,100
06-26-21-02:01:0,LULESH,C,n1-highmem-16-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-02:01:0,Quicksilver,C,n1-highmem-16-2,209.095438,5.437666,5.605471,27360,0,0,4441,0,0,0,0,0,0,0,2425,164,15120998,15427918,9495,11579,11.486083,22.097401,32.672371,100
06-26-21-02:01:0,Quicksilver,B,n1-highmem-16-2,107.739147,2.758718,2.950907,22284,0,0,3156,0,0,0,0,0,0,0,2295,81,7855454,8019084,7812,8905,6.147073,11.573664,16.988599,100
06-26-21-02:01:0,kripke,B,n1-highmem-16-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-02:01:0,Quicksilver,A,n1-highmem-16-2,24.152987,0.605779,0.666357,17692,0,0,2129,0,0,0,0,0,0,0,2462,59,1915256,1918126,4713,4953,1.722424,2.876916,4.020039,100
06-26-21-02:01:0,LULESH,A,n1-highmem-16-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-02:01:0,kripke,C,n1-highmem-16-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-02:01:0,LULESH,B,n1-highmem-16-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-14:47:5,kripke,C,n1-highmem-4-2,333.222595,16.261843,0.395752,459736,0,0,27413,0,0,0,0,0,0,0,2128,225,71310924,71418974,2697,2790,17.109713,33.718764,50.051668,100
06-25-21-14:47:5,kripke,A,n1-highmem-4-2,18.594386,0.906684,0.099417,53376,0,0,10828,0,0,0,0,0,0,0,2081,149,12672100,12676970,910,1107,1.422213,2.324604,3.216910,100
06-25-21-14:47:5,Quicksilver,B,n1-highmem-4-2,259.290707,7.333975,6.390235,37364,0,0,6959,0,0,0,0,0,0,0,2081,160,4256487,4288724,1931,2581,14.132229,27.205012,40.176496,100
06-25-21-14:47:5,LULESH,B,n1-highmem-4-2,428.346540,2.087561,0.227516,164340,0,0,40545,0,0,0,0,0,0,0,2120,88,5866642,2968608,551,656,2.728099,4.908300,7.110350,1000
06-25-21-14:47:5,Quicksilver,A,n1-highmem-4-2,58.070583,1.736050,1.396822,21276,0,0,2929,0,0,0,0,0,0,0,2087,145,931175,945576,1237,1240,3.545244,6.549989,9.424876,100
06-25-21-14:47:5,LULESH,C,n1-highmem-4-2,3642.096598,16.712869,1.913473,1192712,0,0,142234,0,0,0,0,0,0,0,2151,160,22778423,11452522,1249,1717,19.039438,37.366997,55.511918,1000
06-25-21-14:47:5,Quicksilver,C,n1-highmem-4-2,545.404516,15.257389,13.081191,57524,0,0,12063,0,0,0,0,0,0,0,2140,259,8309988,8463946,2429,3281,28.766900,55.979692,83.001092,100
06-25-21-14:47:5,LULESH,A,n1-highmem-4-2,60.852876,0.291439,0.075853,34908,0,0,16823,0,0,0,0,0,0,0,2051,52,1556264,761582,257,311,0.775561,1.078284,1.381355,1000
06-25-21-14:47:5,kripke,B,n1-highmem-4-2,87.072460,4.346484,0.175938,163280,0,0,23474,0,0,0,0,0,0,0,2110,190,33346616,33344934,1398,1379,4.937023,9.237036,13.534944,100
06-25-21-20:15:2,Quicksilver,C,n1-highmem-8-2,304.024566,6.839119,9.258807,39200,0,0,6977,0,0,0,0,0,0,0,2219,138,9066314,9135092,4114,4838,16.515886,31.929591,47.288255,100
06-25-21-20:15:2,Quicksilver,B,n1-highmem-8-2,147.719835,3.625323,4.157517,27372,0,0,4436,0,0,0,0,0,0,0,2235,170,4656868,4744926,3447,4102,8.197971,15.591995,23.018082,100
06-25-21-20:15:2,LULESH,A,n1-highmem-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-20:15:2,kripke,B,n1-highmem-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-20:15:2,LULESH,B,n1-highmem-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-20:15:2,kripke,A,n1-highmem-8-2,9.728325,0.496260,0.068035,36168,0,0,6541,0,0,0,0,0,0,0,2264,152,12682140,12671216,972,912,0.984725,1.442585,1.899551,100
06-25-21-20:15:2,kripke,C,n1-highmem-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-20:15:2,LULESH,C,n1-highmem-8-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-20:15:2,Quicksilver,A,n1-highmem-8-2,32.716989,0.753593,1.014144,19288,0,0,2396,0,0,0,0,0,0,0,2263,152,1089362,1083072,2091,2362,2.188157,3.837007,5.432993,100
06-26-21-03:43:3,LULESH,C,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,kripke,C,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,LULESH,A,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,kripke,A,n1-highmem-16-8,2.415828,0.132574,0.084365,20284,0,0,2590,0,0,0,0,0,0,0,2524,71,12904427,12696860,1808,1454,0.675261,0.770777,0.862887,100
06-26-21-03:43:3,Quicksilver,A,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,LULESH,B,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,kripke,B,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,Quicksilver,B,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-26-21-03:43:3,Quicksilver,C,n1-highmem-16-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-16:44:5,Quicksilver,A,n1-highmem-4-8,24.417144,0.464180,0.797438,17912,0,0,2080,0,0,0,0,0,0,0,2163,181,765683,741738,2382,2338,1.684016,2.840948,3.991926,100
06-25-21-16:44:5,kripke,A,n1-highmem-4-8,5.584810,0.301438,0.064306,27116,0,0,4313,0,0,0,0,0,0,0,2113,172,9535532,9502816,652,800,0.785138,1.042169,1.295728,100
06-25-21-16:44:5,LULESH,C,n1-highmem-4-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-16:44:5,Quicksilver,C,n1-highmem-4-8,202.374547,4.403415,6.320903,27072,0,0,4392,0,0,0,0,0,0,0,2119,213,5456513,5689394,4322,5026,11.142745,21.418198,31.673434,100
06-25-21-16:44:5,LULESH,B,n1-highmem-4-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-16:44:5,kripke,B,n1-highmem-4-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-25-21-16:44:5,kripke,C,n1-highmem-4-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
